po_number,supplier_id,item,units,total_usd,po_date
PO-DM-01895,SUP004,chip C,481,9850.88,2025-08-19
PO-DM-01937,SUP044,forged shaft,349,70829.55,2025-08-19
PO-DM-02188,SUP003,plastic pellets,1458,2551.5,2025-08-19
PO-DM-02294,SUP006,plastic pellets,946,1617.66,2025-08-19
PO-DM-00077,SUP007,stamped clip,766,6465.04,2025-08-20
PO-DM-00248,SUP034,machined component A,930,44695.8,2025-08-20
PO-DM-00729,SUP011,steel coil,1475,1855815.5,2025-08-20
PO-DM-01353,SUP044,forged shaft,401,77232.6,2025-08-20
PO-DM-02314,SUP007,stamped clip,933,9162.06,2025-08-20
PO-DM-00209,SUP044,forged shaft,636,121380.6,2025-08-21
PO-DM-00939,SUP014,iron casting body,1400,237342.0,2025-08-21
PO-DM-01320,SUP027,galvanized steel sheet,1233,1773115.65,2025-08-21
PO-DM-01744,SUP035,precision sleeve,960,82867.2,2025-08-21
PO-DM-01948,SUP021,stamped clip,926,9408.16,2025-08-21
PO-DM-02373,SUP021,stamped clip,1388,13699.56,2025-08-21
PO-DM-02430,SUP006,plastic resin,1147,2144.89,2025-08-21
PO-DM-00106,SUP011,steel plate,215,162400.25,2025-08-22
PO-DM-02475,SUP027,powder-coated steel coil,478,597786.8,2025-08-22
PO-DM-00010,SUP001,steel sheets,642,767080.86,2025-08-23
PO-DM-00647,SUP032,M10 nut pack,701,371.53,2025-08-23
PO-DM-00930,SUP026,gear set B,324,46361.16,2025-08-23
PO-DM-01017,SUP009,capacitor pack,947,255.69,2025-08-23
PO-DM-01033,SUP004,chip C,269,3566.94,2025-08-23
PO-DM-01656,SUP014,iron casting bracket,109,15098.68,2025-08-23
PO-DM-01747,SUP011,steel coil,100,103080.0,2025-08-23
PO-DM-00054,SUP042,machined bracket,1268,38255.56,2025-08-24
PO-DM-00094,SUP031,steel plate,736,542689.6,2025-08-24
PO-DM-00228,SUP001,steel coil,494,567862.88,2025-08-24
PO-DM-00714,SUP048,steel plate,1022,949529.98,2025-08-24
PO-DM-00964,SUP005,casting body,1071,213096.87,2025-08-24
PO-DM-01448,SUP015,memory chip 8GB,1404,22393.8,2025-08-24
PO-DM-01489,SUP046,diecast bracket,666,29643.66,2025-08-24
PO-DM-01616,SUP010,aluminum casting body,978,111560.46,2025-08-24
PO-DM-01860,SUP003,plastic resin,750,1080.0,2025-08-24
PO-DM-02420,SUP041,composite tube,1280,335872.0,2025-08-24
PO-DM-02454,SUP038,PCB assembly type B,691,162481.74,2025-08-24
PO-DM-00073,SUP012,plastic pellets,1321,2338.17,2025-08-25
PO-DM-00322,SUP023,composite tube,277,92858.71,2025-08-25
PO-DM-00845,SUP035,precision shaft,1375,187178.75,2025-08-25
PO-DM-01225,SUP015,memory chip 8GB,1233,22181.67,2025-08-25
PO-DM-01477,SUP047,plastic pellets,1066,2025.4,2025-08-25
PO-DM-02288,SUP002,aluminum sheet,712,100242.48,2025-08-25
PO-DM-00104,SUP041,composite tube,1117,309319.64,2025-08-26
PO-DM-00607,SUP035,precision sleeve,1373,73894.86,2025-08-26
PO-DM-00617,SUP031,steel sheets,685,749759.9,2025-08-26
PO-DM-00899,SUP002,aluminum sheet,1078,87156.3,2025-08-26
PO-DM-01201,SUP038,PCB assembly type B,870,166048.2,2025-08-26
PO-DM-01469,SUP004,chip C,1281,18395.16,2025-08-26
PO-DM-02214,SUP007,stamped bracket,123,2712.15,2025-08-26
PO-DM-00029,SUP002,aluminum sheet,679,67329.64,2025-08-27
PO-DM-00138,SUP002,aluminum sheet,1050,130630.5,2025-08-27
PO-DM-00384,SUP001,steel coil,1085,1253988.75,2025-08-27
PO-DM-02072,SUP005,casting body,1357,290859.38,2025-08-27
PO-DM-02136,SUP011,steel sheets,1221,1462135.29,2025-08-27
PO-DM-00232,SUP029,chip A,153,1552.95,2025-08-28
PO-DM-00400,SUP022,plastic pellets,352,647.68,2025-08-28
PO-DM-00517,SUP013,forged steel hub,1195,364271.85,2025-08-28
PO-DM-01088,SUP035,precision shaft,280,43108.8,2025-08-28
PO-DM-01791,SUP020,compression spring 25mm,219,227.76,2025-08-28
PO-DM-02197,SUP035,precision shaft,772,104876.2,2025-08-28
PO-DM-00637,SUP050,plastic resin,1169,2700.39,2025-08-29
PO-DM-01827,SUP034,machined component B,386,45443.78,2025-08-29
PO-DM-02232,SUP031,steel sheets,781,799931.44,2025-08-29
PO-DM-02323,SUP009,resistor pack,766,114.9,2025-08-29
PO-DM-02407,SUP041,composite panel,1349,516788.41,2025-08-29
PO-DM-00018,SUP044,forged shaft,342,42555.06,2025-08-30
PO-DM-00103,SUP035,precision sleeve,971,66163.94,2025-08-30
PO-DM-00406,SUP023,composite tube,1299,359615.16,2025-08-30
PO-DM-01618,SUP038,PCB assembly type A,823,108611.31,2025-08-30
PO-DM-01987,SUP009,resistor pack,768,130.56,2025-08-30
PO-DM-02224,SUP027,powder-coated steel coil,1244,1468442.48,2025-08-30
PO-DM-00075,SUP037,plastic pellets,1421,2671.48,2025-08-31
PO-DM-00152,SUP004,chip C,672,8635.2,2025-08-31
PO-DM-00429,SUP031,steel sheets,337,342766.07,2025-08-31
PO-DM-00604,SUP038,PCB assembly type A,617,89131.82,2025-08-31
PO-DM-00653,SUP041,composite tube,353,69978.72,2025-08-31
PO-DM-00808,SUP022,plastic resin,936,2049.84,2025-08-31
PO-DM-00965,SUP035,precision sleeve,473,31236.92,2025-08-31
PO-DM-01022,SUP040,aluminum profile,299,35425.52,2025-08-31
PO-DM-01067,SUP004,chip B,801,10773.45,2025-08-31
PO-DM-01550,SUP011,steel sheets,1451,1691895.02,2025-08-31
PO-DM-01868,SUP043,molded part B,1482,22259.64,2025-08-31
PO-DM-01958,SUP004,chip A,742,7909.72,2025-08-31
PO-DM-02247,SUP010,aluminum casting body,1019,194914.32,2025-08-31
PO-DM-02321,SUP007,stamped bracket,80,2098.4,2025-08-31
PO-DM-00847,SUP013,forged steel arm,1180,174085.4,2025-09-01
PO-DM-00869,SUP001,steel sheets,161,146880.3,2025-09-01
PO-DM-01021,SUP002,aluminum sheet,421,40154.98,2025-09-01
PO-DM-01461,SUP031,steel coil,459,521625.96,2025-09-01
PO-DM-00295,SUP011,steel plate,1439,1229812.57,2025-09-02
PO-DM-01140,SUP003,plastic resin,465,651.0,2025-09-02
PO-DM-01260,SUP035,precision shaft,277,41430.89,2025-09-02
PO-DM-01786,SUP035,precision sleeve,889,72515.73,2025-09-02
PO-DM-00780,SUP012,plastic resin,818,2004.1,2025-09-03
PO-DM-00852,SUP016,bearing 6206,316,4503.0,2025-09-03
PO-DM-01840,SUP013,forged steel hub,447,126085.29,2025-09-03
PO-DM-01930,SUP013,forged steel hub,869,202450.93,2025-09-03
PO-DM-02155,SUP020,compression spring 25mm,374,381.48,2025-09-03
PO-DM-00985,SUP008,machined housing,1197,143843.49,2025-09-04
PO-DM-01833,SUP027,galvanized steel sheet,1182,1584660.12,2025-09-04
PO-DM-02089,SUP002,aluminum sheet,578,91838.42,2025-09-04
PO-DM-00621,SUP048,steel plate,1109,1123627.71,2025-09-05
PO-DM-00739,SUP026,gear set B,755,99101.3,2025-09-05
PO-DM-00974,SUP006,plastic resin,716,1310.28,2025-09-05
PO-DM-01091,SUP006,plastic resin,467,962.02,2025-09-05
PO-DM-01587,SUP029,chip A,1200,9480.0,2025-09-05
PO-DM-01943,SUP005,casting bracket,1026,134877.96,2025-09-05
PO-DM-02350,SUP044,forged shaft,181,26654.06,2025-09-05
PO-DM-02395,SUP020,compression spring 25mm,396,328.68,2025-09-05
PO-DM-01929,SUP009,resistor pack,202,30.3,2025-09-06
PO-DM-00025,SUP016,bearing 6206,56,1419.6,2025-09-07
PO-DM-00552,SUP005,casting bracket,453,55279.59,2025-09-07
PO-DM-01443,SUP019,brass sheet,1087,103286.74,2025-09-07
PO-DM-01509,SUP015,memory chip 8GB,108,1762.56,2025-09-07
PO-DM-02307,SUP031,steel sheets,1243,1261446.12,2025-09-07
PO-DM-00059,SUP050,plastic resin,1151,1910.66,2025-09-08
PO-DM-00065,SUP033,casting body,1457,277908.18,2025-09-08
PO-DM-00081,SUP043,molded part B,415,5382.55,2025-09-08
PO-DM-00156,SUP028,anodizing service batch,475,270849.75,2025-09-08
PO-DM-00160,SUP042,machined bracket,1457,51679.79,2025-09-08
PO-DM-00192,SUP043,molded part A,203,1764.07,2025-09-08
PO-DM-00920,SUP027,galvanized steel sheet,1326,1742178.36,2025-09-08
PO-DM-01245,SUP004,chip C,756,9480.24,2025-09-08
PO-DM-01456,SUP006,plastic resin,1147,1904.02,2025-09-08
PO-DM-01521,SUP009,resistor pack,1305,234.9,2025-09-08
PO-DM-02196,SUP048,steel coil,1038,1091581.56,2025-09-08
PO-DM-02222,SUP019,copper bar,92,21992.6,2025-09-08
PO-DM-02346,SUP001,steel coil,1214,1514282.9,2025-09-08
PO-DM-02408,SUP003,plastic pellets,500,855.0,2025-09-08
PO-DM-00430,SUP001,steel coil,532,612347.96,2025-09-09
PO-DM-00841,SUP013,forged steel hub,1422,240403.32,2025-09-09
PO-DM-00992,SUP007,stamped clip,1387,11553.71,2025-09-09
PO-DM-01340,SUP019,brass sheet,511,60727.24,2025-09-09
PO-DM-01506,SUP003,plastic resin,440,1117.6,2025-09-09
PO-DM-02327,SUP047,plastic pellets,1388,1832.16,2025-09-09
PO-DM-00710,SUP009,resistor pack,589,64.79,2025-09-10
PO-DM-00963,SUP019,copper bar,497,197184.75,2025-09-10
PO-DM-01574,SUP001,steel plate,696,641224.8,2025-09-10
PO-DM-02017,SUP008,machined bracket,955,33482.3,2025-09-10
PO-DM-00142,SUP015,memory chip 8GB,770,15107.4,2025-09-11
PO-DM-01333,SUP011,steel sheets,657,656388.99,2025-09-11
PO-DM-01394,SUP023,composite tube,1452,493650.96,2025-09-11
PO-DM-02009,SUP001,steel sheets,618,725865.72,2025-09-11
PO-DM-02039,SUP011,steel coil,763,1025418.59,2025-09-11
PO-DM-02436,SUP039,casting bracket,1392,164325.6,2025-09-11
PO-DM-00508,SUP027,powder-coated steel coil,718,856171.92,2025-09-12
PO-DM-00623,SUP036,wireform clip,736,1420.48,2025-09-12
PO-DM-01185,SUP009,resistor pack,953,152.48,2025-09-12
PO-DM-01251,SUP012,plastic pellets,1300,2509.0,2025-09-12
PO-DM-00284,SUP002,aluminum sheet,1343,139980.89,2025-09-13
PO-DM-00590,SUP044,forged shaft,375,76380.0,2025-09-13
PO-DM-00905,SUP011,steel plate,1117,1064981.31,2025-09-13
PO-DM-01293,SUP035,precision shaft,737,63617.84,2025-09-13
PO-DM-01684,SUP003,plastic resin,1121,2544.67,2025-09-13
PO-DM-02178,SUP006,plastic pellets,1071,1220.94,2025-09-13
PO-DM-02234,SUP005,casting bracket,1358,132486.48,2025-09-13
PO-DM-02394,SUP002,aluminum sheet,389,34807.72,2025-09-13
PO-DM-02490,SUP019,brass sheet,1474,226082.12,2025-09-13
PO-DM-00720,SUP002,aluminum sheet,1180,125186.2,2025-09-14
PO-DM-00749,SUP009,capacitor pack,1036,165.76,2025-09-14
PO-DM-00948,SUP012,plastic resin,372,558.0,2025-09-14
PO-DM-00951,SUP023,composite tube,761,283594.26,2025-09-14
PO-DM-01028,SUP007,stamped clip,714,4369.68,2025-09-14
PO-DM-01261,SUP010,aluminum casting body,1358,175114.1,2025-09-14
PO-DM-02236,SUP011,steel coil,850,1032852.0,2025-09-14
PO-DM-02349,SUP007,stamped bracket,1236,33545.04,2025-09-14
PO-DM-02404,SUP034,machined component B,370,37207.2,2025-09-14
PO-DM-00004,SUP006,plastic pellets,501,751.5,2025-09-15
PO-DM-00038,SUP044,forged shaft,195,30583.8,2025-09-15
PO-DM-00352,SUP026,gear set B,865,130502.55,2025-09-15
PO-DM-00812,SUP035,precision sleeve,543,39725.88,2025-09-15
PO-DM-01368,SUP028,anodizing service batch,1244,660029.08,2025-09-15
PO-DM-01472,SUP006,plastic pellets,329,371.77,2025-09-15
PO-DM-01482,SUP011,steel coil,1022,1284889.06,2025-09-15
PO-DM-01792,SUP033,casting bracket,337,41437.52,2025-09-15
PO-DM-02043,SUP039,casting body,1233,214788.6,2025-09-15
PO-DM-00227,SUP044,forged hub,1052,229862.0,2025-09-16
PO-DM-00527,SUP029,chip C,546,8331.96,2025-09-16
PO-DM-00977,SUP032,M10 nut pack,797,581.81,2025-09-16
PO-DM-01103,SUP029,chip B,110,1509.2,2025-09-16
PO-DM-01171,SUP038,PCB assembly type B,185,43724.75,2025-09-16
PO-DM-01238,SUP021,stamped clip,566,3995.96,2025-09-16
PO-DM-01666,SUP002,aluminum profile,336,34776.0,2025-09-16
PO-DM-01989,SUP031,steel coil,484,521940.76,2025-09-16
PO-DM-02162,SUP046,diecast bracket,404,20155.56,2025-09-16
PO-DM-02342,SUP035,precision shaft,320,54646.4,2025-09-16
PO-DM-00184,SUP011,steel plate,597,613847.34,2025-09-17
PO-DM-00633,SUP049,brass valve body,191,15967.6,2025-09-17
PO-DM-00861,SUP013,forged steel hub,840,168882.0,2025-09-17
PO-DM-01396,SUP012,plastic resin,76,118.56,2025-09-17
PO-DM-01753,SUP050,plastic pellets,67,119.93,2025-09-17
PO-DM-01977,SUP016,bearing 6204,939,12019.2,2025-09-17
PO-DM-02035,SUP021,stamped bracket,509,7848.78,2025-09-17
PO-DM-02359,SUP041,composite tube,196,60442.48,2025-09-17
PO-DM-02409,SUP019,copper bar,433,156477.54,2025-09-17
PO-DM-00313,SUP024,aluminum bracket,1106,80251.36,2025-09-18
PO-DM-00999,SUP002,aluminum sheet,683,67173.05,2025-09-18
PO-DM-01093,SUP013,forged steel hub,573,107294.25,2025-09-18
PO-DM-01256,SUP002,aluminum sheet,769,75015.95,2025-09-18
PO-DM-01354,SUP020,circlip 12mm,146,21.9,2025-09-18
PO-DM-01444,SUP021,stamped clip,1313,14981.33,2025-09-18
PO-DM-02124,SUP024,aluminum bracket,1161,60128.19,2025-09-18
PO-DM-02181,SUP029,chip C,59,1246.08,2025-09-18
PO-DM-00989,SUP020,circlip 12mm,210,39.9,2025-09-19
PO-DM-01184,SUP029,chip A,707,5514.6,2025-09-19
PO-DM-02091,SUP048,steel coil,131,145876.36,2025-09-19
PO-DM-00417,SUP014,iron casting bracket,1027,159739.58,2025-09-20
PO-DM-00560,SUP047,plastic resin,1186,1897.6,2025-09-20
PO-DM-01384,SUP041,composite tube,304,94471.04,2025-09-20
PO-DM-02416,SUP023,composite tube,247,55276.13,2025-09-20
PO-DM-00380,SUP009,capacitor pack,338,57.46,2025-09-21
PO-DM-00458,SUP007,stamped bracket,336,7072.8,2025-09-21
PO-DM-00883,SUP042,machined housing,1370,163673.9,2025-09-21
PO-DM-01275,SUP002,aluminum sheet,214,31520.06,2025-09-21
PO-DM-01421,SUP048,steel coil,512,614021.12,2025-09-21
PO-DM-02225,SUP019,brass sheet,85,11989.25,2025-09-21
PO-DM-00325,SUP029,chip C,545,10458.55,2025-09-22
PO-DM-00530,SUP048,steel coil,1500,1566510.0,2025-09-22
PO-DM-00706,SUP006,plastic resin,473,756.8,2025-09-22
PO-DM-00822,SUP007,stamped clip,777,9821.28,2025-09-22
PO-DM-01236,SUP019,brass sheet,1223,115756.95,2025-09-22
PO-DM-02008,SUP003,plastic resin,143,291.72,2025-09-22
PO-DM-02414,SUP031,steel sheets,664,759775.36,2025-09-22
PO-DM-00008,SUP034,machined component A,825,27348.75,2025-09-23
PO-DM-00024,SUP044,forged shaft,1362,182807.64,2025-09-23
PO-DM-00760,SUP015,memory chip 8GB,811,13040.88,2025-09-23
PO-DM-01128,SUP036,wireform handle,994,1759.38,2025-09-23
PO-DM-01748,SUP009,capacitor pack,785,235.5,2025-09-23
PO-DM-01959,SUP041,composite panel,644,191776.76,2025-09-23
PO-DM-02013,SUP009,capacitor pack,886,265.8,2025-09-23
PO-DM-02160,SUP048,steel coil,1500,1797255.0,2025-09-23
PO-DM-02361,SUP048,steel plate,817,725716.59,2025-09-23
PO-DM-02460,SUP015,memory chip 8GB,657,9815.58,2025-09-23
PO-DM-00145,SUP009,resistor pack,255,45.9,2025-09-24
PO-DM-00426,SUP030,plastic resin,78,177.84,2025-09-24
PO-DM-00434,SUP046,diecast bracket,1463,67107.81,2025-09-24
PO-DM-00664,SUP001,steel plate,1313,1048181.03,2025-09-24
PO-DM-01319,SUP017,polypropylene resin,753,1242.45,2025-09-24
PO-DM-01327,SUP035,precision sleeve,496,29407.84,2025-09-24
PO-DM-01605,SUP048,steel plate,1402,1472562.66,2025-09-24
PO-DM-02087,SUP021,stamped clip,692,5093.12,2025-09-24
PO-DM-00154,SUP007,stamped clip,972,12898.44,2025-09-25
PO-DM-00407,SUP009,resistor pack,510,96.9,2025-09-25
PO-DM-00555,SUP041,composite panel,1429,576687.24,2025-09-25
PO-DM-01026,SUP035,precision shaft,568,72772.16,2025-09-25
PO-DM-01474,SUP037,plastic resin,221,393.38,2025-09-25
PO-DM-01651,SUP048,steel sheets,105,115464.3,2025-09-25
PO-DM-01962,SUP001,steel sheets,1310,1324567.2,2025-09-25
PO-DM-00057,SUP007,stamped clip,318,3615.66,2025-09-26
PO-DM-00062,SUP049,brass connector,1417,35524.19,2025-09-26
PO-DM-00503,SUP004,chip C,865,18415.85,2025-09-26
PO-DM-00654,SUP048,steel coil,1101,1070205.03,2025-09-26
PO-DM-01665,SUP009,capacitor pack,1143,285.75,2025-09-26
PO-DM-01832,SUP001,steel coil,925,1234246.0,2025-09-26
PO-DM-00126,SUP002,aluminum profile,258,26272.14,2025-09-27
PO-DM-00784,SUP004,chip C,1454,26608.2,2025-09-27
PO-DM-00874,SUP046,diecast housing,643,73996.44,2025-09-27
PO-DM-01175,SUP021,stamped bracket,811,16487.63,2025-09-27
PO-DM-01381,SUP010,aluminum gear housing,136,33741.6,2025-09-27
PO-DM-01908,SUP007,stamped bracket,543,10615.65,2025-09-27
PO-DM-02326,SUP006,plastic pellets,501,751.5,2025-09-27
PO-DM-00635,SUP001,steel sheets,647,677622.51,2025-09-28
PO-DM-00728,SUP046,diecast bracket,91,5176.99,2025-09-28
PO-DM-01006,SUP017,ABS resin,894,1796.94,2025-09-28
PO-DM-01127,SUP048,steel sheets,646,648480.64,2025-09-28
PO-DM-01561,SUP031,steel plate,1282,1269641.52,2025-09-28
PO-DM-02241,SUP048,steel plate,1193,1152115.89,2025-09-28
PO-DM-00140,SUP002,aluminum profile,878,89125.78,2025-09-29
PO-DM-00592,SUP044,forged hub,156,28611.96,2025-09-29
PO-DM-00744,SUP030,plastic resin,508,863.6,2025-09-29
PO-DM-00887,SUP011,steel coil,722,886146.7,2025-09-29
PO-DM-01328,SUP007,stamped bracket,82,1699.04,2025-09-29
PO-DM-01449,SUP030,plastic resin,1459,2159.32,2025-09-29
PO-DM-01631,SUP037,plastic pellets,149,289.06,2025-09-29
PO-DM-01728,SUP003,plastic resin,743,1872.36,2025-09-29
PO-DM-01939,SUP013,forged steel hub,302,56812.24,2025-09-29
PO-DM-01984,SUP006,plastic resin,828,1564.92,2025-09-29
PO-DM-02251,SUP008,machined housing,1185,104232.6,2025-09-29
PO-DM-00443,SUP017,polypropylene resin,1194,2173.08,2025-09-30
PO-DM-00513,SUP011,steel sheets,237,201881.34,2025-09-30
PO-DM-00759,SUP002,aluminum sheet,507,70746.78,2025-09-30
PO-DM-01173,SUP025,vac-formed housing,433,13977.24,2025-09-30
PO-DM-00259,SUP009,capacitor pack,609,164.43,2025-10-01
PO-DM-00277,SUP007,stamped clip,1123,7445.49,2025-10-01
PO-DM-01470,SUP002,aluminum profile,106,7922.44,2025-10-01
PO-DM-01542,SUP004,chip B,1055,13725.55,2025-10-01
PO-DM-01773,SUP048,steel sheets,316,364872.56,2025-10-01
PO-DM-01774,SUP016,bearing 6206,375,7668.75,2025-10-01
PO-DM-02071,SUP023,composite panel,483,181245.75,2025-10-01
PO-DM-00124,SUP048,steel sheets,1235,1060852.65,2025-10-02
PO-DM-00178,SUP048,steel plate,540,531311.4,2025-10-02
PO-DM-01183,SUP002,aluminum sheet,96,12115.2,2025-10-02
PO-DM-01400,SUP002,aluminum profile,85,7545.45,2025-10-02
PO-DM-01710,SUP005,casting body,140,20277.6,2025-10-02
PO-DM-02451,SUP035,precision shaft,1060,111512.0,2025-10-02
PO-DM-00056,SUP002,aluminum sheet,584,56262.56,2025-10-03
PO-DM-00082,SUP001,steel plate,939,787135.53,2025-10-03
PO-DM-00525,SUP011,steel plate,1473,1149440.82,2025-10-03
PO-DM-00553,SUP031,steel coil,1130,1564665.8,2025-10-03
PO-DM-00649,SUP002,aluminum profile,386,33570.42,2025-10-03
PO-DM-01417,SUP015,memory chip 8GB,884,13171.6,2025-10-03
PO-DM-01496,SUP003,plastic pellets,459,766.53,2025-10-03
PO-DM-01885,SUP047,plastic resin,1223,2250.32,2025-10-03
PO-DM-01919,SUP005,casting body,60,11062.8,2025-10-03
PO-DM-01949,SUP011,steel sheets,675,669789.0,2025-10-03
PO-DM-02363,SUP044,forged hub,267,58059.15,2025-10-03
PO-DM-02393,SUP016,bearing 6206,1227,29828.37,2025-10-03
PO-DM-00143,SUP011,steel sheets,297,327427.65,2025-10-04
PO-DM-00603,SUP027,powder-coated steel coil,769,1218526.64,2025-10-04
PO-DM-00888,SUP031,steel sheets,1208,1266467.2,2025-10-04
PO-DM-00959,SUP029,chip A,1436,14072.8,2025-10-04
PO-DM-00981,SUP015,memory chip 8GB,1341,24325.74,2025-10-04
PO-DM-01169,SUP041,composite tube,1207,392262.93,2025-10-04
PO-DM-01933,SUP033,casting body,909,187008.57,2025-10-04
PO-DM-02075,SUP049,brass valve body,865,55368.65,2025-10-04
PO-DM-00363,SUP022,plastic pellets,1227,1435.59,2025-10-05
PO-DM-00408,SUP036,wireform clip,1463,2618.77,2025-10-05
PO-DM-00673,SUP012,plastic resin,410,688.8,2025-10-05
PO-DM-01156,SUP047,plastic pellets,924,1524.6,2025-10-05
PO-DM-01211,SUP010,aluminum gear housing,450,61659.0,2025-10-05
PO-DM-01452,SUP009,resistor pack,1254,100.32,2025-10-05
PO-DM-01667,SUP043,molded part A,1300,11765.0,2025-10-05
PO-DM-01818,SUP007,stamped clip,723,5111.61,2025-10-05
PO-DM-02113,SUP006,plastic resin,713,1568.6,2025-10-05
PO-DM-02114,SUP001,steel coil,352,413512.0,2025-10-05
PO-DM-00394,SUP027,galvanized steel sheet,721,1025658.55,2025-10-06
PO-DM-02103,SUP004,chip B,348,4245.6,2025-10-06
PO-DM-02391,SUP021,stamped clip,634,5439.72,2025-10-06
PO-DM-00170,SUP048,steel coil,762,863925.12,2025-10-07
PO-DM-00186,SUP011,steel plate,1162,988722.56,2025-10-07
PO-DM-00860,SUP007,stamped bracket,131,3086.36,2025-10-07
PO-DM-02173,SUP033,casting body,1003,185956.2,2025-10-07
PO-DM-00366,SUP041,composite panel,672,176608.32,2025-10-08
PO-DM-00575,SUP011,steel coil,1272,1516796.4,2025-10-08
PO-DM-00853,SUP001,steel coil,367,355244.99,2025-10-08
PO-DM-01511,SUP030,plastic resin,71,139.16,2025-10-08
PO-DM-01652,SUP013,forged steel arm,341,67449.8,2025-10-08
PO-DM-01687,SUP031,steel plate,156,162480.24,2025-10-08
PO-DM-00263,SUP017,polypropylene resin,807,1388.04,2025-10-09
PO-DM-01001,SUP001,steel plate,780,814437.0,2025-10-09
PO-DM-01312,SUP006,plastic pellets,521,937.8,2025-10-09
PO-DM-01762,SUP031,steel coil,1464,1744970.88,2025-10-09
PO-DM-01915,SUP032,M10 nut pack,1220,439.2,2025-10-09
PO-DM-00116,SUP001,steel coil,720,752580.0,2025-10-10
PO-DM-01433,SUP031,steel sheets,833,884312.8,2025-10-10
PO-DM-01770,SUP017,ABS resin,1111,2010.91,2025-10-10
PO-DM-02179,SUP015,memory chip 8GB,977,15016.49,2025-10-10
PO-DM-02478,SUP003,plastic pellets,921,1565.7,2025-10-10
PO-DM-00193,SUP011,steel plate,864,829379.52,2025-10-11
PO-DM-00523,SUP011,steel plate,828,845909.64,2025-10-11
PO-DM-00797,SUP001,steel sheets,1408,1515740.16,2025-10-11
PO-DM-01270,SUP047,plastic pellets,595,737.8,2025-10-11
PO-DM-01718,SUP025,vac-formed housing,1311,33024.09,2025-10-11
PO-DM-01765,SUP001,steel coil,435,506187.75,2025-10-11
PO-DM-02100,SUP045,bearing 6206,937,13858.23,2025-10-11
PO-DM-02309,SUP011,steel sheets,335,308695.8,2025-10-11
PO-DM-00338,SUP005,casting bracket,147,22139.67,2025-10-12
PO-DM-00701,SUP028,anodizing service batch,371,126666.82,2025-10-12
PO-DM-00790,SUP021,stamped bracket,1459,39480.54,2025-10-12
PO-DM-00857,SUP002,aluminum profile,486,48502.8,2025-10-12
PO-DM-00868,SUP035,precision shaft,98,12340.16,2025-10-12
PO-DM-00912,SUP012,plastic resin,1403,2357.04,2025-10-12
PO-DM-01090,SUP038,PCB assembly type B,971,171420.34,2025-10-12
PO-DM-01170,SUP024,aluminum bracket,476,28022.12,2025-10-12
PO-DM-01763,SUP026,gear set A,334,31853.58,2025-10-12
PO-DM-01820,SUP030,plastic pellets,98,128.38,2025-10-12
PO-DM-00074,SUP042,machined bracket,894,25738.26,2025-10-13
PO-DM-01192,SUP005,casting bracket,1312,150735.68,2025-10-13
PO-DM-01750,SUP003,plastic pellets,128,203.52,2025-10-13
PO-DM-01881,SUP046,diecast bracket,235,18748.3,2025-10-13
PO-DM-01894,SUP010,aluminum gear housing,170,47023.7,2025-10-13
PO-DM-02209,SUP006,plastic pellets,1078,1606.22,2025-10-13
PO-DM-00105,SUP009,capacitor pack,635,120.65,2025-10-14
PO-DM-00984,SUP039,casting bracket,1339,129534.86,2025-10-14
PO-DM-01071,SUP034,machined component B,210,25706.1,2025-10-14
PO-DM-02037,SUP044,forged hub,414,78072.12,2025-10-14
PO-DM-02122,SUP012,plastic pellets,1121,2219.58,2025-10-14
PO-DM-02360,SUP003,plastic pellets,1293,2340.33,2025-10-14
PO-DM-00990,SUP018,casting body,393,75161.25,2025-10-15
PO-DM-01058,SUP004,chip A,1176,10125.36,2025-10-15
PO-DM-01282,SUP048,steel sheets,125,121093.75,2025-10-15
PO-DM-01458,SUP035,precision shaft,1234,110405.98,2025-10-15
PO-DM-01634,SUP015,memory chip 8GB,1208,21284.96,2025-10-15
PO-DM-01863,SUP013,forged steel arm,1045,215531.25,2025-10-15
PO-DM-01897,SUP010,aluminum casting body,94,13275.62,2025-10-15
PO-DM-02059,SUP035,precision sleeve,1012,79755.72,2025-10-15
PO-DM-02337,SUP023,composite tube,103,37287.03,2025-10-15
PO-DM-02383,SUP024,aluminum housing,293,23530.83,2025-10-15
PO-DM-00293,SUP004,chip B,629,6881.26,2025-10-16
PO-DM-00956,SUP048,steel plate,1040,1048309.6,2025-10-16
PO-DM-01165,SUP029,chip A,409,3182.02,2025-10-16
PO-DM-01189,SUP007,stamped bracket,687,15519.33,2025-10-16
PO-DM-01578,SUP007,stamped bracket,1253,33492.69,2025-10-16
PO-DM-01638,SUP029,chip B,526,7101.0,2025-10-16
PO-DM-02027,SUP027,galvanized steel sheet,267,338275.65,2025-10-16
PO-DM-02082,SUP030,plastic pellets,966,1748.46,2025-10-16
PO-DM-00005,SUP038,PCB assembly type A,376,56328.56,2025-10-17
PO-DM-00128,SUP023,composite tube,191,53707.29,2025-10-17
PO-DM-00507,SUP001,steel coil,525,696885.0,2025-10-17
PO-DM-00678,SUP011,steel plate,462,472431.96,2025-10-17
PO-DM-01557,SUP035,precision sleeve,1327,141391.85,2025-10-17
PO-DM-01669,SUP017,polypropylene resin,1406,3079.14,2025-10-17
PO-DM-02200,SUP019,copper bar,434,133359.52,2025-10-17
PO-DM-00290,SUP048,steel coil,261,343199.34,2025-10-18
